"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.30804177324416e-216,1.22695366510757,0.392,0.195,4.78756369425095e-212,"0","STEAP1B"
1.82640960284647e-213,0.946321711722274,0.697,0.537,6.68484178737835e-209,"0","ZFAS1"
2.11745683441742e-212,0.52465812156219,0.93,0.876,7.75010375965121e-208,"0","RPL41"
3.91347208836614e-210,0.361663236327822,0.999,0.992,1.43236991906289e-205,"0","MT-CO2"
6.87358193843326e-208,0.979300255435207,0.611,0.386,2.51579972528596e-203,"0","REL"
6.89140211473741e-199,1.4407474381288,0.368,0.18,2.52232208801504e-194,"0","STX7"
7.39781540264422e-198,0.41661873113887,0.991,0.971,2.70767441552181e-193,"0","MT-ND4L"
1.24845889609416e-195,1.23458324198931,0.325,0.143,4.56948440559424e-191,"0","TMEM156"
2.32832998188173e-192,1.08007410559921,0.345,0.15,8.52192056668533e-188,"0","CYBB"
4.18467907801062e-190,0.447873893333554,0.959,0.909,1.53163438934267e-185,"0","PTMA"
4.35336242898942e-190,0.704731048418654,0.532,0.299,1.59337418263442e-185,"0","RIPOR2"
1.48021461560959e-187,0.620445258211384,0.867,0.81,5.41773351459265e-183,"0","RBFOX2"
1.96719197379263e-187,1.15226846203393,0.403,0.211,7.2001193432784e-183,"0","TPD52"
1.56193765249227e-185,1.10116756925272,0.471,0.269,5.71684800188695e-181,"0","BIRC3"
7.66298701507171e-185,1.31094948837493,0.257,0.101,2.8047298773864e-180,"0","FCGR2B"
1.71476277099945e-180,0.462577732023822,0.899,0.853,6.27620321813509e-176,"0","HLA-E"
9.23229391284556e-178,0.845897989255978,0.414,0.222,3.3791118950406e-173,"0","PLCG2"
3.03132373350609e-177,0.726608790121949,0.705,0.511,1.10949479970057e-172,"0","RAC2"
5.89718558468261e-177,0.776437996709104,0.311,0.133,2.15842889584968e-172,"0","SESN3"
1.01430999224358e-176,1.32300422536008,0.252,0.099,3.71247600261071e-172,"0","STRBP"
1.06552695035961e-170,1.44634563783974,0.343,0.169,3.89993519101121e-166,"0","PPM1K"
