"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC138123.11",8.97186286315986e-129,0.631396413972771,0.663,0.51,3.28379152654514e-124,"1","AC138123.1"
"TNFRSF1B",9.28322693640906e-129,0.392073834662241,0.494,0.285,3.39775389099508e-124,"1","TNFRSF1B"
"KRTCAP2",1.87643060881912e-128,0.562166295644654,0.685,0.517,6.86792367133884e-124,"1","KRTCAP2"
"RPL271",3.26681949416333e-128,0.344674706827196,0.913,0.739,1.19568860305872e-123,"1","RPL27"
"DDX5",7.21470053979596e-128,0.382596936424256,0.926,0.833,2.64065254457072e-123,"1","DDX5"
"DENND2D",2.41617250592371e-126,0.985351532222586,0.294,0.142,8.84343298893136e-122,"1","DENND2D"
"RPL27A1",9.60654740509731e-126,0.446281637351463,0.821,0.682,3.51609241573967e-121,"1","RPL27A"
"RPL61",3.04558289362075e-125,0.31841391502898,0.976,0.872,1.11471379489413e-120,"1","RPL6"
"COX6A1",3.72284315535823e-125,0.448988765648337,0.78,0.614,1.36259782329267e-120,"1","COX6A1"
"BCAP31",1.86808338675264e-124,0.857572374803892,0.505,0.364,6.83737200385335e-120,"1","BCAP31"
"ARHGAP45",3.30620261350762e-124,0.834490552228461,0.433,0.264,1.21010321856992e-119,"1","ARHGAP45"
"PPP2R5C",1.19640953637583e-123,0.363827732451985,0.565,0.377,4.37897854408917e-119,"1","PPP2R5C"
"TBCD",1.32092804875709e-123,1.07196746807247,0.268,0.128,4.83472875125583e-119,"1","TBCD"
"HNRNPK1",1.35955183854338e-123,0.527070034842174,0.737,0.596,4.97609568425262e-119,"1","HNRNPK"
"RPL391",1.75161832714709e-123,0.286989458241853,0.985,0.891,6.41109823919107e-119,"1","RPL39"
"PXN",1.79453781103569e-123,0.998244054614629,0.286,0.14,6.56818784217171e-119,"1","PXN"
"ARF6",2.18305121936154e-123,1.12662407168866,0.336,0.189,7.99018576798519e-119,"1","ARF6"
"SHFL",6.91666490183893e-123,1.14430755143346,0.341,0.194,2.53156852072207e-118,"1","SHFL"
"ENO1",2.52779159867338e-122,0.55323848047451,0.662,0.493,9.25197003030442e-118,"1","ENO1"
"TSC22D4",4.95647864010759e-122,1.15694791591563,0.344,0.2,1.81412074706578e-117,"1","TSC22D4"
"RPS4X1",6.79714941251298e-122,0.256348423567943,0.982,0.876,2.48782465647387e-117,"1","RPS4X"
"ARHGAP30",7.39636753194911e-122,0.90010193606135,0.388,0.227,2.70714448036869e-117,"1","ARHGAP30"
"RPL361",1.52902384156861e-121,0.297576291354217,0.973,0.85,5.59638016252527e-117,"1","RPL36"
"RHOC",1.58572795653277e-121,0.662041708167158,0.423,0.25,5.80392289370559e-117,"1","RHOC"
"C9orf78",5.59667618456574e-121,1.05673384383347,0.392,0.244,2.04843945031291e-116,"1","C9orf78"
"NDUFA1",4.4849646573159e-120,0.556563629265364,0.682,0.538,1.64154191422419e-115,"1","NDUFA1"
"CYFIP21",4.54379231772567e-120,0.628153961329419,0.399,0.222,1.66307342621077e-115,"1","CYFIP2"
"HMGN4",5.56283749893171e-120,1.11626146254362,0.363,0.22,2.036054152984e-115,"1","HMGN4"
"PDCL3",9.8299406835674e-120,1.34473982719235,0.275,0.141,3.5978565895925e-115,"1","PDCL3"
"TMC6",1.16531021739241e-119,0.840920841782047,0.421,0.259,4.26515192667795e-115,"1","TMC6"
"MFSD10",3.69740004430933e-119,1.0956099580285,0.375,0.229,1.35328539021766e-114,"1","MFSD10"
"DR1",5.38701801957123e-119,1.33668190258378,0.259,0.128,1.97170246534326e-114,"1","DR1"
"CDC42SE2",1.70233733421185e-118,0.283921391042251,0.634,0.437,6.23072487694879e-114,"1","CDC42SE2"
"EDF1",9.81506388913583e-118,0.509682397985186,0.72,0.584,3.5924115340626e-113,"1","EDF1"
"ARPC5",1.02915076409936e-117,0.670123495983826,0.572,0.409,3.76679471168006e-113,"1","ARPC5"
"RASSF1",5.09553689966095e-117,1.1530178683308,0.329,0.188,1.8650174606449e-112,"1","RASSF1"
"SYNE2",1.10968085777321e-116,0.376237776025454,0.499,0.311,4.06154290753573e-112,"1","SYNE2"
"SF3A1",1.7906839233901e-116,0.977303726548701,0.375,0.227,6.55408222800011e-112,"1","SF3A1"
"CDK2AP2",1.8733339489764e-116,1.09479491800795,0.4,0.264,6.85658958664853e-112,"1","CDK2AP2"
"RBCK1",8.42116651028111e-116,1.03659578254645,0.391,0.25,3.08223115442799e-111,"1","RBCK1"
"PGAM1",3.8173493346164e-115,0.74189568774221,0.521,0.375,1.39718802996295e-110,"1","PGAM1"
"BTF31",1.1184308025266e-114,0.383625203864373,0.878,0.705,4.0935685803276e-110,"1","BTF3"
"ARL6IP6",1.18493453385082e-114,1.25146860809984,0.252,0.123,4.33697888734739e-110,"1","ARL6IP6"
"DENND1C",2.7539476360388e-114,1.18378047170239,0.257,0.125,1.00797237426656e-109,"1","DENND1C"
"SLC38A1",5.24028914510609e-114,0.394746037556906,0.527,0.336,1.91799823000028e-109,"1","SLC38A1"
"CCL3",1.98160994931077e-113,0.390605660816986,0.283,0.133,7.25289057547236e-109,"1","CCL3"
"TENT5C",2.56662127865615e-112,0.52642037234434,0.497,0.313,9.39409054200936e-108,"1","TENT5C"
"CALM2",4.29611518713644e-112,0.287918724172629,0.765,0.589,1.57242111964381e-107,"1","CALM2"
"TRAF3IP31",6.25652267807444e-112,0.676182837095034,0.415,0.248,2.28994986540203e-107,"1","TRAF3IP3"
"ARPC5L1",1.35353754150572e-111,1.12622749692472,0.369,0.232,4.95408275566507e-107,"1","ARPC5L"
"PTMA1",3.72902268031332e-111,0.297024456941272,0.986,0.906,1.36485959122148e-106,"1","PTMA"
"RHBDD2",2.98932443818867e-110,1.15330612547537,0.302,0.166,1.09412263762144e-105,"1","RHBDD2"
"SLAMF7",2.58792087700142e-109,1.19923621559009,0.277,0.149,9.47204920191291e-105,"1","SLAMF7"
"LINC011381",4.36041124670898e-109,0.665714140746973,0.404,0.236,1.59595412040796e-104,"1","LINC01138"
"CARD16",7.56712836147706e-109,0.634999826876347,0.408,0.242,2.76964465158422e-104,"1","CARD16"
"RPS22",1.05375878351392e-108,0.276150593990269,0.952,0.832,3.85686252353931e-104,"1","RPS2"
"COX4I11",2.12278865042261e-108,0.341699451056209,0.891,0.732,7.76961873941178e-104,"1","COX4I1"
"RSRP1",2.80406963435517e-108,0.499699036025516,0.634,0.484,1.02631752687034e-103,"1","RSRP1"
"SCP2",3.54456033801525e-107,0.98496644084242,0.401,0.266,1.29734452931696e-102,"1","SCP2"
"BATF",5.95486063481526e-107,0.657256400526305,0.265,0.129,2.17953854094873e-102,"1","BATF"
"RPS281",9.2119209195138e-107,0.2716772708331,0.987,0.908,3.37165517575125e-102,"1","RPS28"
"SNRPB",6.11990809832084e-106,0.690585247398203,0.54,0.4,2.23994756306641e-101,"1","SNRPB"
"RPL381",9.80489721335662e-106,0.35179343042897,0.906,0.752,3.58869042906066e-101,"1","RPL38"
"SASH31",1.057250543902e-105,0.958825219653204,0.334,0.191,3.86964271573572e-101,"1","SASH3"
"PSMD8",2.00984349958082e-105,0.818123494300963,0.479,0.351,7.35622819281575e-101,"1","PSMD8"
"DEF6",4.8069588638135e-104,0.816328292232118,0.383,0.235,1.75939501374438e-99,"1","DEF6"
"PBXIP1",5.6503067488528e-104,0.738856162530867,0.431,0.275,2.06806877314761e-99,"1","PBXIP1"
"SRI",6.10960136473209e-104,0.895993634932587,0.434,0.301,2.23617519550559e-99,"1","SRI"
"EVI2B1",2.23761742381498e-103,0.767245130960481,0.432,0.286,8.18990353290521e-99,"1","EVI2B"
"TMC8",2.37631919740038e-103,0.460710957083445,0.401,0.23,8.69756589440514e-99,"1","TMC8"
"BZW1",3.50192136214633e-103,0.81997941197943,0.456,0.316,1.28173823775918e-98,"1","BZW1"
"HIGD2A",4.1540623254746e-103,0.579511452997866,0.623,0.482,1.52042835174696e-98,"1","HIGD2A"
"CCSER2",3.14241092119956e-102,0.692251538811633,0.354,0.206,1.15015382126825e-97,"1","CCSER2"
"MAP1LC3B",4.42783457571051e-102,0.684406020699984,0.53,0.399,1.6206317330558e-97,"1","MAP1LC3B"
"SERF2",7.45640815255168e-102,0.259645056811625,0.948,0.8,2.72911994791544e-97,"1","SERF2"
"HNRNPLL",3.7721265557564e-101,1.00690574202294,0.251,0.126,1.3806360406724e-96,"1","HNRNPLL"
"ATP8A1",1.46049505774281e-99,0.51340416744346,0.308,0.162,5.34555796084448e-95,"1","ATP8A1"
"MDH2",2.07072736267691e-99,0.753315046554183,0.478,0.35,7.57906922013375e-95,"1","MDH2"
"COX6B1",2.97352295150262e-99,0.407092928626959,0.748,0.6,1.08833913547948e-94,"1","COX6B1"
"NDUFA13",3.11381525871504e-99,0.437796498884958,0.712,0.58,1.13968752284229e-94,"1","NDUFA13"
"TXNIP1",4.91054409052402e-99,0.318605761756456,0.82,0.67,1.7973082425727e-94,"1","TXNIP"
"ISG15",9.68552519779513e-99,1.14454200403032,0.291,0.165,3.544999077645e-94,"1","ISG15"
"COX7C1",1.51419184868274e-98,0.369236593359627,0.84,0.682,5.54209358536368e-94,"1","COX7C"
"C5orf56",2.94437307974953e-98,0.892802320762019,0.342,0.205,1.07766999091913e-93,"1","C5orf56"
"DIP2A",2.96574327571354e-98,0.799250663845616,0.277,0.144,1.08549169634391e-93,"1","DIP2A"
"RGS14",7.68717565072205e-98,1.10362348947549,0.263,0.139,2.81358315992078e-93,"1","RGS14"
"OTUB1",1.01673790585938e-97,0.805390947223841,0.461,0.334,3.72136240923591e-93,"1","OTUB1"
"RALGDS",8.79480864970221e-97,0.931123900937396,0.278,0.15,3.21898791387751e-92,"1","RALGDS"
"ATP2B4",2.20236641197332e-96,0.632292489872518,0.345,0.201,8.06088130446355e-92,"1","ATP2B4"
"ADSS",5.01741435360726e-95,0.94312150776528,0.318,0.186,1.83642382756379e-90,"1","ADSS"
"OSTF1",1.38620091385089e-94,0.730901263423657,0.425,0.286,5.07363396478563e-90,"1","OSTF1"
"C12orf57",2.26326816408071e-94,0.484156629079221,0.621,0.468,8.28378780735179e-90,"1","C12orf57"
"TAP21",3.79527862230082e-94,0.973466993006463,0.353,0.221,1.38910992854832e-89,"1","TAP2"
"GPR108",3.84723378080737e-94,1.23291270640792,0.279,0.161,1.40812603611331e-89,"1","GPR108"
"PTPN4",8.35587586379684e-94,0.764792333625917,0.271,0.141,3.05833412490828e-89,"1","PTPN4"
"GLUD1",1.00802000167957e-93,0.820820877506316,0.412,0.276,3.68945400814739e-89,"1","GLUD1"
"ARHGEF3",2.06227922079641e-93,0.543697217640069,0.306,0.167,7.54814817603695e-89,"1","ARHGEF3"
